Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Левченко,Володимира,Іванівна,Жінка,01.10.2021,Штукатур,село Деражня,"вулиця Аеропортівський 4-й, буд. 59, Новояворівськ, 90992",583 29 35,nehodafrants@example.org
Андрійчук,Ірена,Михайлівна,Жінка,02.10.2016,Клоун,місто Кілія,"вулиця Аеродромний 1-й, буд. 081 кв. 798, Монастирище, 66446",837-63-78,veniiamyn32@example.net
Забашта,Ірена,Володимирівна,Жінка,03.10.2013,Правник,місто Гола Пристань,"сквер Ярморочна площа, буд. 3, Яготин, 57813",138-76-31,amvrosiivakulenko@example.com
Охримович,Ігнат,Петрович,Чоловік,03.10.2013,Художник,село Житомир,"вулиця Маловського, буд. 133 кв. 127, Часів Яр, 79896",944-32-07,vadymivanychuk@example.org
Бабич,Орися,Михайлівна,Жінка,04.10.2009,Прокурор,селище Старокостянтинів,"вулиця Золотий берег, буд. 817, Рожище, 96534",153-98-02,eshutko@example.org
Скирда,Роксолана,Дмитрівна,Жінка,01.10.2023,Сценарист,хутір Сватове,"сквер Калнишевського Петра, буд. 6 кв. 864, Баранівка, 37226",023 892-14-04,derehusiakiv@example.net
Примаченко,Мілена,Сергіївна,Жінка,01.10.2021,Географ,хутір Новоазовськ,"вулиця Амурський 1-й, буд. 35 кв. 264, Горлівка, 74028",053 399-02-12,ovovk@example.org
Петлюра,Назар,Єгорович,Чоловік,02.10.2016,Стропальник,село Стрий,"узвіз Дачна, буд. 4 кв. 3, Дніпрорудне, 64457",+380 (79) 616-88-52,demian85@example.net
Засядько,Болеслав,Михайлович,Чоловік,02.10.2019,Музикознавець,хутір Вільнянськ,"шосе Дунаєвського 1-й, буд. 738 кв. 9, Волноваха, 49996",607-29-62,opanas72@example.net
Самойленко,Геннадій,Єгорович,Чоловік,01.10.2022,Акушер,місто Калинівка ,"сквер Флотський 4-й, буд. 660 кв. 79, Батурин, 12328",090 561-56-24,omelian26@example.net
Вітер,Спас,Єгорович,Чоловік,03.10.2014,Акушер,село Шумськ,"парк Центральний аеропорт, буд. 84 кв. 46, Монастирище, 22992",+380 84 832 41 67,xmakarenko@example.org
Бандера,Людмила,Володимирівна,Жінка,04.10.2008,Кухар,місто Шостка,"вулиця Чорноморський 10-й, буд. 589 кв. 1, Христинівка, 03768",+380 (11) 171-11-36,ushvachko@example.net
Рябошапка,Ганна,Андріївна,Жінка,01.10.2020,Диригент,хутір Обухів,"проспект Луцька, буд. 797, Глобине, 77610",+380 87 588-24-29,khoma88@example.net
Забашта,Розалія,Єгорівна,Жінка,02.10.2019,Електромонтажник,місто Чернівці,"парк Лінія 26-та, буд. 39 кв. 74, Красноград, 24520",171-15-37,artem92@example.org
Павличенко,Федір,Андрійович,Чоловік,05.10.2006,Бібліотекар,село Чернівці,"провулок Лінія 22-га, буд. 6 кв. 23, Ялта, 95469",+380 56 987-46-62,tarastsymbaliuk@example.net
Бабій,Опанас,Олександрович,Чоловік,02.10.2019,Хореограф,місто Вишгород,"вулиця Перемоги, буд. 834, Комарно, 27881",+380 03 650 91 32,hdrobakha@example.org
Гречаник,Оксана,Олександрівна,Жінка,04.10.2010,Соціолог,селище Вовчанськ,"провулок Азовський, буд. 1 кв. 00, Угнів, 98295",+380 77 832 15 54,odarka41@example.org
Іщак,Святослава,Андріївна,Жінка,02.10.2018,Археолог,місто Чортків,"провулок Моторний 3-й, буд. 8, Бердянськ, 21944",+380 (24) 951-57-06,arkadiiieroshenko@example.com
Бандурка,Марія,Іванівна,Жінка,04.10.2008,Складальник,місто Бровари,"провулок Сєрогодського, буд. 4, Покров, 52046",+380 67 292-55-27,boryslavshvedchenko@example.com
Гоголь,Орися,Миколаївна,Жінка,03.10.2013,Програміст,селище Жданівка,"узвіз Кар’єрна, буд. 67 кв. 67, Миколаївка , 56715",724-70-65,romanenkohavrylo@example.com
Сімашкевич,Богуслав,Андрійович,Чоловік,03.10.2013,Лікар,село Тернопіль,"парк Верхня, буд. 993, Жовква, 68266",047 535-11-41,leopold73@example.org
Запорожець,Адам,Дмитрович,Чоловік,03.10.2013,Бізнесмен,село П'ятихатки,"шосе Десантний, буд. 1 кв. 171, Ходорів, 32668",653-10-46,symonzinchuk@example.com
Непорожній,Аліна,Миколаївна,Жінка,02.10.2016,Доцент,селище Лутугине,"провулок Лермонтовський, буд. 233, Городенка, 37178",+380 81 295-14-52,nadiia76@example.com
Єрошенко,Альбіна,Володимирівна,Жінка,03.10.2012,Астроном,місто Алмазна,"набережна 3-тя Лінія Марії Демченко, буд. 051, Баранівка, 63238",024 243-94-04,vitaliivernydub@example.com
Кащенко,Амалія,Михайлівна,Жінка,04.10.2011,Стиліст,селище Гайсин,"набережна Андреєвського, буд. 014 кв. 296, Корець, 10549",674-88-28,valentynpushkar@example.org
Пустовіт,Алевтин,Володимирович,Чоловік,05.10.2006,Штукатур,місто Христинівка,"сквер Старопортофранківська, буд. 546 кв. 0, Бобринець, 35499",+380 (89) 327-83-75,tsymonenko@example.net
Дрозд,Франц,Андрійович,Чоловік,03.10.2015,Географ,селище Рудки,"парк Азовський, буд. 8 кв. 2, Глобине, 75003",+380 23 535-70-02,piatachenkoadam@example.net
Терещенко,Марта,Іванівна,Жінка,01.10.2022,Етнограф,село Могилів-Подільський,"парк Набережна, буд. 0 кв. 21, Федорівка, 53317",+380 37 934 41 36,dankivmaksym@example.com
Непорожній,Алевтин,Михайлович,Чоловік,01.10.2021,Модельєр,селище Переяслав,"проспект Виноградна, буд. 208 кв. 824, Новоселиця, 39700",054 670 72 51,demydovsiienko@example.net
Оліфіренко,Едита,Миколаївна,Жінка,02.10.2017,Шериф,село Нікополь,"парк Шовкуненка, буд. 5 кв. 0, Білогірськ, 68959",+380 70 543-94-38,sverkhola@example.com
Кабаненко,Орина,Єгорівна,Жінка,03.10.2012,Ріелтор,місто Вільнянськ,"вулиця Вапняне селище, буд. 32, Богодухів, 91312",163-05-41,amaliia90@example.net
Данько,Віолетта,Єгорівна,Жінка,02.10.2018,Флорист,село Долинська,"площа Східчастий 3-й, буд. 74, Тиврів, 60380",020 673-43-83,klymentdrobakha@example.org
Деревʼянко,Віталій,Дмитрович,Чоловік,01.10.2022,Парфюмер,селище Балаклія,"узвіз Ямчитського, буд. 9 кв. 891, Скалат, 98221",910-94-80,obaida@example.net
Дробʼязко,Анастасія,Володимирівна,Жінка,02.10.2018,Публіцист,місто Арциз,"шосе Іванова 2-й, буд. 3 кв. 8, Буча, 07958",+380 89 518-46-59,sshmorhun@example.org
Гоголь-Яновський,Віра,Петрівна,Жінка,05.10.2007,Фізик,селище Тульчин,"провулок Лінійний, буд. 2 кв. 580, Селидове, 37990",002 345-86-17,symonpylypenko@example.com
Цюпа,Богдан,Андрійович,Чоловік,01.10.2022,Географ,місто Ладижин,"проспект Яхненка Семена, буд. 58, Ківерці, 82863",+380 34 734 09 34,anastasiia99@example.org
Матяш,Антон,Миколайович,Чоловік,01.10.2023,Співак,селище Херсон,"узвіз Фестивальний, буд. 93, Боярка, 48550",030 63 36,yzabara@example.com
Мамчур,Клавдія,Андріївна,Жінка,02.10.2019,Соціолог,селище Луганськ,"шосе Тиха, буд. 836 кв. 0, Жашків, 56644",268 75 33,vertyporokhnazar@example.net
Фурс,Наталія,Іванівна,Жінка,01.10.2021,Підприємець,село Скалат,"проспект Східчастий 3-й, буд. 54, Трускавець, 75764",+380 29 079-85-48,sofiiachernenko@example.com
Прокопович,Галина,Андріївна,Жінка,01.10.2020,Футболіст,село Броди,"проспект Миколи Боровського, буд. 83, Залізне, 60680",064 975 94 01,talanstefan@example.com
Ященко,Валентин,Олександрович,Чоловік,02.10.2019,Мистецтвознавець,селище Чоп,"сквер Волзький, буд. 7 кв. 34, Теребовля, 06339",065 868-30-08,amaliiasvystun@example.net
Пелех,Максим,Андрійович,Чоловік,01.10.2022,Зоолог,місто Першотравенськ,"проспект Басейний 1-й, буд. 03, Куп'янськ, 85401",977 13 78,orestshvachka@example.com
Закусило,Святослава,Андріївна,Жінка,01.10.2022,М'ясник,селище Сколе,"проспект Володимира Хавкіна, буд. 776 кв. 4, Кадіївка, 20308",183-68-69,iakiv86@example.com
Козаченко,Марко,Андрійович,Чоловік,01.10.2022,Гінеколог,місто Ізмаїл,"сквер Пересипська 2-га, буд. 72, Долина , 37306",088 171-60-75,lavrenkovolodymyra@example.com
Затула,Христина,Сергіївна,Жінка,01.10.2023,Шериф,село Лозова ,"узвіз Старицького, буд. 73, Вижниця, 91510",+380 45 600-88-42,bazavluchenkoanton@example.com
Чубай,Мілена,Миколаївна,Жінка,02.10.2019,Продюсер,місто Борислав,"вулиця Лінія 40-ва, буд. 7 кв. 396, Сіверськ, 40043",+380 18 148-83-46,avrelii39@example.net
Бакуменко,Борис,Андрійович,Чоловік,01.10.2021,Фольклорист,селище Тлумач,"набережна Квітковий, буд. 6 кв. 91, Донецьк, 06176",+380 84 321-66-87,artiukhalina@example.net
Безбородьки,Наталія,Миколаївна,Жінка,03.10.2012,Будник,селище Стебник,"шосе Марсельська, буд. 96 кв. 734, Ізяслав, 94295",+380 (11) 473-04-09,iukhymbandera@example.org
Дубина,Віра,Миколаївна,Жінка,04.10.2009,Програміст,село Залізне,"парк Авангардна, буд. 289 кв. 388, Рогатин, 11970",+380 28 031-39-35,halyna89@example.org
Рябошапка,Данна,Михайлівна,Жінка,02.10.2016,Історик,село Татарбунари,"провулок Шевченка парк, буд. 904 кв. 10, Новогродівка, 01049",+380 06 801 91 54,amvrosii69@example.net
Шевченко,Петро,Єгорович,Чоловік,01.10.2022,Електротехнік,хутір Добромиль,"проспект Академіка Корольова, буд. 5, Підгайці, 51908",+380 31 299-58-26,ktsarenko@example.com
Базилевич,Леонід,Сергійович,Чоловік,05.10.2006,Антрополог,село Радехів,"сквер Льва Симиренка, буд. 41, Кременчук, 39285",+380 83 777 25 81,sviatoslava58@example.com
Швачко,Омелян,Андрійович,Чоловік,01.10.2020,Підприємець,селище Сколе,"шосе Локомотивний 4-й, буд. 176, Дніпро , 81283",+380 10 699-49-14,demydderiazhnyi@example.org
Чумаченко,Оксенія,Єгорівна,Жінка,01.10.2022,Фермер,хутір Горлівка,"набережна Мариністів, буд. 5 кв. 18, Борщів, 92216",007 289-55-53,ykolodub@example.net
Тесля,Остап,Володимирович,Чоловік,04.10.2008,Кухар,хутір Старокостянтинів,"шосе 9-та Суворовська, буд. 38 кв. 854, Старий Самбір, 82670",840 19 19,bevzenkoirena@example.org
Гайдабура,Федір,Олександрович,Чоловік,04.10.2011,Клоун,хутір Іллінці,"провулок Танкерна, буд. 689, Теплодар, 99051",224-37-51,lizamoskal@example.net
Саєнко,Яків,Петрович,Чоловік,01.10.2020,Ювелір,місто Немирів,"провулок Олександра Невського 1-й, буд. 04, Соледар, 85988",063 661-91-53,orysia61@example.org
Батіг,Василина,Миколаївна,Жінка,03.10.2015,Гірничий інженер,хутір Судак ,"набережна Іванова 2-й, буд. 1 кв. 30, Сарни, 66805",+380 29 864-68-70,qbabii@example.net
Верхола,Дарина,Дмитрівна,Жінка,02.10.2019,Юрист,селище Городище ,"сквер Буніна, буд. 4 кв. 121, Олександрія, 56911",029-03-99,ostap55@example.org
Артеменко,Валерій,Дмитрович,Чоловік,04.10.2008,Головний меркшейдер,село Євпаторія,"сквер Рівності, буд. 9 кв. 702, Брянка, 26907",+380 (11) 158-96-01,ivan90@example.org
Яценюк,Володимир,Дмитрович,Чоловік,01.10.2020,Адвокат,хутір Ізмаїл,"шосе Волзький, буд. 820, Свалява, 57232",+380 17 930 93 30,zaporozhetsedyta@example.org
Атаманюк,Хома,Миколайович,Чоловік,03.10.2012,Реабілітолог,хутір Мар'їнка,"провулок Лінія 41-ша, буд. 40 кв. 1, Моршин, 49207",+380 (70) 354-22-95,taras20@example.org
Забара,Едита,Петрівна,Жінка,02.10.2019,Геолог,селище Переяслав,"сквер Сашка Хорошенка, буд. 08 кв. 20, Ізюм, 48839",584-62-58,hoholmilena@example.org
Охримович,Лілія,Андріївна,Жінка,04.10.2008,Епідеміолог,село Любомль,"вулиця Вапняний 2-й, буд. 87, Первомайськ, 94582",+380 13 728-76-80,illia42@example.org
Товстоліс,Франц,Олександрович,Чоловік,02.10.2017,Льотчик,хутір Бердичів,"вулиця Новікова 2-га, буд. 0 кв. 134, Привілля, 28842",394 08 38,venhrynovychkhrystyna@example.com
Бакуменко,Єлисавета,Єгорівна,Жінка,01.10.2023,Менеджер,місто Миронівка,"провулок Ковалевського узвіз, буд. 51 кв. 973, Новий Калинів, 89364",+380 (78) 965-31-89,rstets@example.org
Парасюк,Марія,Сергіївна,Жінка,02.10.2019,Журналіст,селище Часів Яр,"вулиця Східчастий 3-й, буд. 428, Шепетівка, 21141",+380 82 217-63-73,iryna24@example.org
Харченко,Назар,Михайлович,Чоловік,01.10.2021,Редактор,хутір Миколаїв,"провулок Офіцерська, буд. 860 кв. 5, Середина-Буда, 90281",077 945 48 23,myron89@example.org
Ейбоженко,Тимофій,Михайлович,Чоловік,05.10.2007,Штукатур,село Сулимівка (Слов'янськ),"парк Урожайна, буд. 06 кв. 77, Селидове, 79606",+380 00 083-96-31,irena59@example.com
Малишко,Пріска,Єгорівна,Жінка,04.10.2009,Скульптор,село Борщів,"проспект Сєрогодського, буд. 3, Щолкіне, 07676",+380 (58) 243-90-49,vyshyvanyiruslan@example.com
Чумак,Соломія,Сергіївна,Жінка,04.10.2009,Сценарист,селище Мена ,"провулок Студена, буд. 1, Овруч, 59056",028 750-27-48,orkhyp39@example.net
Оліфіренко,Орися,Сергіївна,Жінка,04.10.2010,Головний меркшейдер,місто Надвірна,"парк Виноградний, буд. 8 кв. 5, Олександрія, 02585",+380 29 314-64-98,venedykt56@example.com
Корсун,Ілля,Миколайович,Чоловік,01.10.2020,Візажист,село Могилів-Подільський,"сквер Теплична, буд. 485, Біла Церква, 92551",018 684 51 47,bazavluchenkodaryna@example.com
Наливайко,Ада,Андріївна,Жінка,03.10.2013,Публіцист,село Кіцмань,"площа Сурикова, буд. 399, Пустомити, 81529",+380 (34) 592-71-23,ldakhno@example.org
Калениченко,Христина,Володимирівна,Жінка,02.10.2016,Музикознавець,село Путивль,"узвіз Касима Юрія, буд. 88 кв. 058, Керч, 15083",482-20-25,vtychyna@example.org
Кащенко,Людмила,Миколаївна,Жінка,02.10.2019,Візажист,селище Рожище,"парк Успенський, буд. 5 кв. 9, Кремінна, 12107",+380 41 280-59-85,hordii89@example.org
Вернигора,Яків,Володимирович,Чоловік,01.10.2021,Парфюмер,селище Світлодарськ,"узвіз Заньковецької, буд. 86, Сторожинець, 16942",045 737 04 91,andriievychbohuslav@example.net
Гаєвський,Назар,Єгорович,Чоловік,02.10.2017,Історик,хутір Лубни,"парк Місячна, буд. 43, Новий Калинів, 45885",+380 44 478 57 06,tdzhus@example.net
Носенко,Онисим,Сергійович,Чоловік,01.10.2023,Фольклорист,селище Білозерське,"узвіз Естафетна, буд. 485 кв. 07, Дніпрорудне, 08300",046 80 57,korolenkoihor@example.org
Талан,Варфоломій,Іванович,Чоловік,02.10.2018,Електромонтажник,місто Мерефа,"провулок Гагаріна, буд. 562 кв. 69, Арциз, 50356",008 345 26 97,kamillabatih@example.com
Василевич,Валентин,Дмитрович,Чоловік,02.10.2018,Гицель,хутір Тиврів,"набережна Дача Ковалевського, буд. 11 кв. 2, Євпаторія, 31585",+380 02 640 92 90,asaulasolomon@example.org
Бабенко,Леонід,Єгорович,Чоловік,03.10.2013,Стиліст,хутір Чуднів,"парк Мала, буд. 5 кв. 229, Авдіївка, 39646",496 85 63,nataliia39@example.com
Радченко,Володимира,Єгорівна,Жінка,01.10.2023,Маркетолог,хутір Золочів,"проспект Ламаний, буд. 21 кв. 93, Немирів, 17065",+380 90 223 99 52,nazarenkoviktor@example.com
Швачка,Віталій,Миколайович,Чоловік,03.10.2015,Електромонтер,село Сніжне,"парк Прокатна, буд. 621 кв. 07, Бердянськ, 45738",069 372-66-43,nkorzh@example.org
Базилевич,Руслан,Сергійович,Чоловік,02.10.2016,Археолог,село Козятин,"шосе Селищний, буд. 2, Дружківка, 15296",+380 64 293-38-22,kyrylo51@example.com
Терещук,Дан,Олександрович,Чоловік,02.10.2017,Ді-джей,місто Сарни,"вулиця Лиманчик 2-й Лінія 2-га, буд. 498 кв. 91, Бахмач, 27622",727 75 47,jdurdynets@example.com
Щириця,Павло,Єгорович,Чоловік,05.10.2006,Астронавт,селище Дунаївці,"узвіз Літня, буд. 52, Волноваха, 50201",937-97-24,konopliatereza@example.net
Засуха,Святослав,Дмитрович,Чоловік,01.10.2021,Провізор,село Алушта,"вулиця Супутників, буд. 90 кв. 869, Городок, 52070",047 651-62-74,airvanets@example.org
Жарко,Валентина,Єгорівна,Жінка,03.10.2014,Журналіст,місто Мирноград,"набережна Куяльницький міст, буд. 984, Новоукраїнка, 19453",+380 03 404 19 72,rebrykihnat@example.net
Лубенець,Володимир,Дмитрович,Чоловік,04.10.2009,Клавішник,місто Новоград-Волинський,"провулок Льва Толстого, буд. 8, Мелітополь, 61292",+380 06 178 78 76,parasiukvalentyna@example.com
Кириленко,Сніжана,Іванівна,Жінка,02.10.2018,Художник,селище Бар,"парк Совіньйонівський, буд. 7, Корець, 97472",+380 20 335-62-27,vasylshutko@example.net
Дейнеко,Алла,Михайлівна,Жінка,04.10.2009,Електротехнік,селище Тальне,"узвіз Новий, буд. 90 кв. 70, Світлодарськ, 35892",+380 97 807-73-53,jievtushenko@example.org
Дрозденко,Хома,Єгорович,Чоловік,03.10.2012,Няня,хутір Бахчисарай,"площа Аркадійська, буд. 5, Білозерське, 34463",+380 81 651-31-52,iustym96@example.org
Терещук,Тимофій,Олександрович,Чоловік,02.10.2017,Географ,селище Південне ,"шосе Вапняна, буд. 769, Ходорів, 17495",075 033 95 28,baranykbohuslav@example.net
Дахно,Євген,Миколайович,Чоловік,05.10.2007,Бібліотекар,місто Ямпіль,"проспект Академіка Ясиновського, буд. 82, Сєвєродонецьк, 20907",858-93-66,oresthrytsenko@example.com
Чорновіл,Ліза,Володимирівна,Жінка,01.10.2022,Лікар,селище Берислав,"провулок Бірюкова, буд. 7, Умань, 45918",+380 40 688 76 75,bshablii@example.com
Овчаренко,Руслан,Сергійович,Чоловік,05.10.2006,Будник,село Вашківці,"сквер Люстдорфська дорога, буд. 7, Зимогір'я, 72508",+380 05 282-95-10,andrii10@example.com
Титаренко,Леопольд,Єгорович,Чоловік,03.10.2015,Візажист,місто Хуст,"провулок Іванівська, буд. 231 кв. 371, Іршава, 50383",+380 (70) 757-10-90,vasylynaiarosh@example.com
Гречко,Надія,Михайлівна,Жінка,02.10.2018,Стропальник,село Хуст,"провулок Десята, буд. 4, Коростишів, 80273",090 361 11 51,tokarviacheslav@example.net
Перепелиця,Мирослав,Володимирович,Чоловік,01.10.2022,Інженер,хутір Баштанка,"провулок Лінія 26-та, буд. 762, Вишневе , 49322",+380 (92) 205-75-20,wisaienko@example.net
Хмара,Еріка,Володимирівна,Жінка,01.10.2021,Флорист,хутір Новоукраїнка,"узвіз Соляний 6-й, буд. 971, Луганськ, 48320",893 40 60,kartymyshyn@example.net
Христенко,Петро,Олександрович,Чоловік,01.10.2021,Диригент,місто Остер ,"парк Бірюкова, буд. 41 кв. 27, Павлоград, 93517",+380 (20) 641-49-73,huzrostyslav@example.com
Заєць,Тимофій,Миколайович,Чоловік,04.10.2008,Публіцист,місто Новодружеськ,"парк Перша, буд. 9 кв. 09, Маріуполь, 46515",+380 88 014-29-77,violetta29@example.org
Данько,Анжела,Іванівна,Жінка,01.10.2021,Дизайнер,село Шумськ,"вулиця Академіка Векслера, буд. 504 кв. 526, Красноперекопськ, 80742",+380 (66) 155-46-25,diukhymenko@example.org
Кащенко,Хома,Володимирович,Чоловік,04.10.2011,Паблік рилейшнз,село Ворожба,"парк Академіка Сахарова, буд. 67 кв. 1, Вільногірськ, 38617",465 04 78,stefan27@example.org
Бабко,Венедикт,Петрович,Чоловік,03.10.2012,Журналіст,село Зеленодольськ,"сквер Луценка Івана, буд. 433, Звенигородка, 40442",076 925 67 44,ksalii@example.org
Данилюк,Пармен,Михайлович,Чоловік,02.10.2017,Швачка,селище Жмеринка,"площа Старицького, буд. 941, Кипуче, 93937",071 532 06 31,babkopanteleimon@example.net
Габелко,Лариса,Андріївна,Жінка,02.10.2018,Фотограф,селище Чортків,"шосе Дунаєвського 3-й, буд. 237, Ізюм, 76914",010 56 82,boryslavkolisnychenko@example.com
Бебешко,Хома,Петрович,Чоловік,01.10.2022,Письменник,село Коростень,"провулок 2-га Лінія Марії Демченко, буд. 793, Білозерське, 17208",+380 11 912 36 43,prokhir23@example.net
Радченко,Камілла,Олександрівна,Жінка,03.10.2012,Кіноактор,селище Нова Каховка,"проспект Деревообробний 3-й, буд. 228 кв. 936, Львів, 98031",+380 (94) 440-85-85,thavryliv@example.net
Чередник,Франц,Петрович,Чоловік,05.10.2007,Підприємець,селище Жданівка,"узвіз Пассіонарії, буд. 576, Монастирище, 05574",+380 40 215 65 83,deisunvarvara@example.org
Свистун,Феофан,Петрович,Чоловік,02.10.2017,Бібліограф,селище Лиман ,"набережна Каркашадзе, буд. 554, Ковель, 01400",015 464-18-94,chalyidaryna@example.org
Засуха,Надія,Андріївна,Жінка,04.10.2008,Хореограф,село Рівне,"набережна Малиновський, буд. 7 кв. 753, Звенигородка, 85227",011 063-62-82,yvakhnii@example.net
Голобородько,Едита,Олександрівна,Жінка,02.10.2018,Намотувальник,місто Радехів,"провулок Рівності 2-й, буд. 48, Ірміно, 61847",315 48 58,haivoronskyiarkadii@example.com
Юрченко,Валентин,Михайлович,Чоловік,01.10.2021,Мірошник,хутір Городище ,"вулиця Щоголєва, буд. 40 кв. 531, Новоселиця, 22672",419-55-54,petro05@example.com
Валенко,Надія,Дмитрівна,Жінка,03.10.2014,Няня,селище Обухів,"провулок Академічна, буд. 2, Сарни, 41539",070-35-71,levko38@example.org
Тимчук,Яків,Іванович,Чоловік,03.10.2013,Музикознавець,селище Ізюм,"парк Сортувальна 2-га, буд. 5, Хотин, 18363",+380 (92) 080-62-18,tetianashamrai@example.net
Прокопович,Орхип,Петрович,Чоловік,05.10.2006,Музикант,село Каховка,"парк Лінія 24-та, буд. 6, Радивилів, 82880",+380 78 153-59-79,makarenkostanislav@example.org
Дурдинець,Роксолана,Володимирівна,Жінка,04.10.2009,Паралегал,селище Кам'янка (Черкаська область),"узвіз Тираспольське, буд. 9 кв. 4, Ізмаїл, 65034",067 121 45 31,terezaivanenko@example.com
Матяш,Валентина,Михайлівна,Жінка,05.10.2007,Паблік рилейшнз,хутір Бердянськ,"набережна Весела, буд. 06, Андрушівка, 45117",+380 53 491 17 79,illiapiddubnyi@example.com
Доценко,Анастасія,Михайлівна,Жінка,01.10.2020,Диригент,місто Зоринськ,"парк Краснослобідська, буд. 537 кв. 71, Хорол , 76397",+380 97 143 49 29,khabelko@example.org
Копитко,Георгій,Іванович,Чоловік,04.10.2008,Астроном,село Бережани,"проспект Велика Садова, буд. 9 кв. 926, Сулимівка (Слов'янськ), 19422",+380 90 223 49 21,verkhovynetsoksana@example.org
Михалюк,Еріка,Миколаївна,Жінка,02.10.2017,Археолог,хутір Червоноград,"сквер Естафетна, буд. 55, Трускавець, 79276",+380 70 480 40 53,vakhniiboleslav@example.net
Шеремета,Златослава,Єгорівна,Жінка,01.10.2021,Клавішник,хутір Городище ,"провулок Абрикосова, буд. 161 кв. 56, Броди, 80366",+380 52 827 18 09,borysshynkarenko@example.org
Канівець,Тетяна,Петрівна,Жінка,02.10.2018,Піаніст,селище Козятин,"проспект Мічманський 2-й, буд. 73 кв. 7, Курахове, 84005",+380 59 598-51-60,dmytroostapchuk@example.net
Жарко,Захар,Михайлович,Чоловік,05.10.2007,Художник,хутір Білогірськ,"узвіз Дмитрія Донського, буд. 7, Миронівка, 36968",449-25-57,tymchenkotetiana@example.org
Андріїшин,Віра,Дмитрівна,Жінка,03.10.2013,Ветеринар,місто Мукачево,"площа Рибальська, буд. 623, Алчевськ, 82413",+380 98 922 06 76,ihnatkyrylenko@example.net
Дубина,Олена,Сергіївна,Жінка,01.10.2022,Няня,селище Олевськ,"набережна Шовкуненка, буд. 07, Новоселиця, 83227",047 869-39-23,chuikomariia@example.net
Хорішко,Прохір,Сергійович,Чоловік,01.10.2023,Євнух,селище Новодружеськ,"шосе Верхня, буд. 480, Глиняни, 79484",041 364 63 83,sdanchenko@example.com
Бабак,Камілла,Петрівна,Жінка,05.10.2007,Будник,місто Приморськ (Україна),"парк Дукова, буд. 8 кв. 3, Алупка, 39525",+380 68 226-14-87,veniiamynskorobohatko@example.com
Сіробаба,Одарка,Михайлівна,Жінка,04.10.2010,Педагог,селище Червоноград,"шосе Кавказька, буд. 10 кв. 82, Іллінці, 28656",007 759-98-43,lizapustovit@example.org
Лаба,Павло,Андрійович,Чоловік,03.10.2014,Акушер,село Старий Самбір,"провулок Орликова, буд. 15 кв. 949, Залізне, 98916",+380 16 513-28-95,avhustyndankiv@example.org
Вдовенко,Олександр,Андрійович,Чоловік,02.10.2016,Мовознавець,селище Феодосія,"набережна Байкальська, буд. 054 кв. 7, Вуглегірськ, 80255",+380 36 865 91 37,panteleimon95@example.com
Сірко,Валентин,Володимирович,Чоловік,05.10.2007,Астроном,місто Павлоград,"сквер Олександра Невського 1-й, буд. 73 кв. 3, Бібрка, 64205",+380 (29) 549-59-98,edyta00@example.com
Смик,Гаврило,Дмитрович,Чоловік,04.10.2010,Мікробіолог,селище Болехів,"проспект Віцеадмірала Жукова, буд. 798 кв. 32, Підгородне, 56759",+380 (52) 649-61-39,oles50@example.org
Рябченко,Азар,Сергійович,Чоловік,04.10.2010,Антрополог,селище Красноперекопськ,"набережна Садова 6-та, буд. 6, Костопіль, 72137",070 819-17-51,okyrylenko@example.org
Швачка,Олесь,Олександрович,Чоловік,03.10.2014,Ботанік,місто Олевськ,"вулиця Чубаївський, буд. 1, Кам'янець-Подільський, 14663",020 412 82 15,darynahrechko@example.com
Стець,Єфрем,Єгорович,Чоловік,02.10.2019,Гицель,село Перевальськ,"площа Чорноморка, буд. 2 кв. 9, Корюківка, 42796",+380 03 890-15-40,cnosachenko@example.org
Ткач,Валентина,Андріївна,Жінка,02.10.2016,Лікар,селище Щолкіне,"сквер Зої Космодем’янської, буд. 4 кв. 999, Мена , 63573",638-48-22,khrechanyk@example.net
Килимник,Аврелій,Сергійович,Чоловік,04.10.2011,Музичний редактор,хутір Моршин,"проспект Шолохова, буд. 35, Сміла, 24121",+380 59 936-74-48,tsushkoruslan@example.net
Литвин,Клавдія,Олександрівна,Жінка,05.10.2006,Клоун,місто Добропілля,"парк Бузковий 1-й, буд. 96 кв. 917, Копичинці, 56985",001 513-49-92,roksolanakylymnyk@example.com
Голобородько,Артем,Михайлович,Чоловік,03.10.2013,Менеджер,хутір Ходорів,"площа Новобазарний, буд. 4 кв. 4, Гола Пристань, 84498",824 18 44,alevtynkarpenko@example.org
Царенко,Гліб,Єгорович,Чоловік,02.10.2017,Конструктор,хутір Городище ,"площа Куниці, буд. 30, Кадіївка, 72893",+380 82 260 00 68,tbhydenko@example.org
Аврамчук,Ігор,Іванович,Чоловік,05.10.2006,Мінералог,місто Шпола,"сквер Студена, буд. 4 кв. 0, Скалат, 47590",005-31-34,zlatoslavacherednyk@example.org
Єрченко,Тетяна,Андріївна,Жінка,05.10.2006,Кіноактор,село Ізюм,"узвіз Миколи Боровського, буд. 956 кв. 0, Алмазна, 08179",048 476 82 01,masliakustym@example.org
Нестайко,Вʼячеслав,Дмитрович,Чоловік,01.10.2023,Електромонтажник,село Прип'ять ,"парк Суперфосфатна, буд. 024, Міусинськ, 03221",607-62-42,neporozhniiada@example.com
